trial_id,trial_date,delay_yn,yard_name,ship_type,hull_number,time_taken,delay_time,captain_sal,helm_sal,captain_cost,helm_cost,trans_cost,cond_cost,temp_test_cost,dev_cor_cost,west_meal_cost,korean_meal_cost,bed_cost,comd_cost,hfo_unit_price,mfo_unit_price,draw_cost,comm_cost,total_cost,helm_tot_cost,labor_cost,fuel_cost,other_cost,Timestamp
23293,2020년 8월,지연,현대미포,1800TEU_EGCS,1차선,5,4,443051,265831,17722040,7974930,374430,534930,971703,445775,1783000,7287740,1783106,1671661,218,267,5786361,2893179,176928357,28023808,93217520,34481982,21205047,2025-07-09 9:57
6443,2016년 5월,정상,삼성중공업,LPG,1차선,4,해당없음,380568,228340,7611360,3653440,229491,510035,926483,425029,883896,3722416,1700126,1275094,169,294,5517090,2758543,93765882,13355838,48499100,16053779,15857165,2025-07-09 9:57
6758,2016년 6월,지연,현대미포,LPG,1차선,5,4,380568,228340,11417040,4566800,254990,510035,926483,425029,1189860,4844240,1700126,1593868,187,307,5517090,2758543,110791821,18100377,53583180,21504537,17603727,2025-07-09 9:57
23697,2020년 9월,지연,삼성중공업,CON_RO,1차선,5,7,443051,265831,42089845,18608170,882585,534930,887450,445775,4190050,17116160,1783106,1671661,200,249,5198471,2599234,421714906,63448755,252052215,73655254,32558682,2025-07-09 9:57
18838,2019년 6월,지연,삼성중공업,PC_SCR,시리즈,5,15,423972,254383,8479440,3815745,186466,532798,883914,443999,887900,3795630,1776001,1665000,310,344,5177759,2588878,105241923,14342362,51554780,23453613,15891168,2025-07-09 9:57
23585,2020년 9월,지연,현대미포,2500TEU_EGCS,1차선,5,19,443051,265831,17722040,7974930,374430,534930,1176849,445775,1693850,7087160,1783106,1671661,200,249,6370561,3185279,173009558,28228954,93217520,29771467,21791617,2025-07-09 9:57
14978,2018년 7월,정상,삼성중공업,1800TEU_EGCS,1차선,4,해당없음,406492,243895,13007744,5853480,367416,524924,953528,437437,1399600,5668272,1749754,1312315,357,444,5678134,2839066,160268220,21144529,79086784,41389766,18647141,2025-07-09 9:57
14442,2018년 5월,지연,삼성중공업,PC_EGCS_SCR,1차선,5,6,406492,243895,14227220,6097375,314928,524924,870851,437437,1487075,6035660,1749754,1640394,345,440,5101240,2550618,166237090,22472735,83533785,41665829,18564741,2025-07-09 9:57
12591,2018년 11월,정상,삼성중공업,1800TEU_SCR,시리즈,4,해당없음,406492,243895,6503872,2926740,183708,524924,953528,437437,769780,3201524,1749754,1312315,335,357,5678134,2839066,89993121,11530209,42177452,20734887,15550573,2025-07-09 9:57
19598,2019년 9월,지연,현대미포,1800TEU_EGCS,1차선,5,13,423972,254383,16958880,7631490,372932,532798,967831,443999,1775800,7324900,1776001,1665000,288,358,5763307,2881652,180760085,26907930,89203160,43462335,21186660,2025-07-09 9:57
21729,2020년 3월,정상,삼성중공업,2500TEU_SCR,시리즈,4,해당없음,443051,265831,7088816,3189972,187215,534930,1176849,445775,784520,3262768,1783106,1337329,125,192,6370561,3185279,84832948,12623557,45867188,9618640,16723563,2025-07-09 9:57
21430,2020년 2월,지연,현대미포,1800TEU_EGCS,시리즈,5,22,443051,265831,13291530,5316620,267450,534930,971703,445775,1248100,5215080,1783106,1671661,228,318,5786361,2893179,128263675,20828008,63488920,25349260,18597487,2025-07-09 9:57
7782,2016년 9월,지연,삼성중공업,2500TEU_EGCS,시리즈,5,18,380568,228340,13319880,5708500,305988,510035,1122083,425029,1444830,5864080,1700126,1593868,203,285,6074103,3037050,143665166,21391515,78205925,24353669,19714057,2025-07-09 9:57
3569,2015년 8월,지연,삼성중공업,LPG,시리즈,5,12,369125,221474,7382500,3322110,177247,506489,920042,422074,843950,3607815,1688307,1582788,188,270,5478738,2739367,89379882,12730462,44876020,15832435,15940965,2025-07-09 9:57
9318,2017년 2월,지연,삼성중공업,2500TEU_DF,2차_1차선,4,17,394269,236561,4731228,1892488,128770,515136,1133304,429280,549376,2163168,1717128,1609807,263,336,6134845,3067421,70126478,8830206,33055328,12999199,15241745,2025-07-09 9:57
22679,2020년 6월,지연,현대미포,LPG,1차선,5,13,443051,265831,11076275,5316620,240705,534930,971703,445775,1158950,4947640,1783106,1671661,188,241,5786361,2893179,118141018,18586008,61273680,20040433,18240897,2025-07-09 9:57
20966,2020년 1월,지연,삼성중공업,LPG,1차선,5,23,443051,265831,13291530,5316620,267450,534930,971703,445775,1248100,5215080,1783106,1671661,225,362,5786361,2893179,139848693,20828008,72811935,27611263,18597487,2025-07-09 9:57
32546,2023년 12월,정상,삼성중공업,2500TEU_DF,2차_1차선,3,해당없음,483558,290135,4352022,1740810,144785,579150,1274131,482625,463320,1824228,1930501,1447876,393,454,6897162,3448581,70256907,8573523,30406080,15265636,16011668,2025-07-09 9:57
25812,2021년 3월,지연,삼성중공업,1800TEU_EGCS,시리즈,5,4,448368,269021,11209200,5380420,241911,537605,976562,448004,1164800,4838040,1792022,1680020,312,392,5815293,2907645,139169508,18793702,71424830,30753156,18197820,2025-07-09 9:57
29526,2022년 2월,정상,삼성중공업,PC_SCR,시리즈,4,해당없음,465855,279513,7453680,3354156,192857,551046,914186,459205,808192,3306000,1836823,1377617,449,576,5355076,2677537,105788359,12925130,46324500,31177484,15361245,2025-07-09 9:57
14001,2018년 4월,지연,현대미포,2500TEU_EGCS,1차선,5,14,406492,243895,14227220,7316850,341172,524924,1154837,437437,1662025,6691710,1749754,1640394,294,417,6251408,3125702,166905827,24002440,81460560,40321834,21120993,2025-07-09 9:57
26890,2021년 7월,지연,삼성중공업,2500TEU_EGCS,1차선,5,16,448368,269021,17934720,8070630,376306,537605,1182734,448004,1702400,7189865,1792022,1680020,341,456,6402414,3201206,211260804,28549999,109042800,51700078,21967927,2025-07-09 9:57
36135,2024년 1월,정상,삼성중공업,CON_RO,시리즈,4,해당없음,500000,300000,24000000,10800000,630000,600000,995400,500000,2320000,9540000,2000000,1500000,420,465,5830800,2915400,283461271,37525400,142680000,79149671,22106200,2025-07-09 9:57
20149,2020년 10월,지연,삼성중공업,PC_EGCS_SCR,시리즈,5,4,443051,265831,11076275,5316620,240705,534930,887450,445775,1069800,4412760,1783106,1671661,205,249,5198471,2599234,115062478,18501755,61174120,18651571,16735032,2025-07-09 9:57
8961,2017년 1월,지연,현대미포,2500TEU_DF,2차_1차선,4,16,394269,236561,4731228,1892488,128770,515136,1133304,429280,549376,2317680,1717128,1609807,263,331,6134845,3067421,66827496,8830206,28513280,14087753,15396257,2025-07-09 9:57
13273,2018년 1월,지연,현대미포,1800TEU_EGCS,시리즈,5,23,406492,243895,12194760,4877900,262440,524924,953528,437437,1312125,5248400,1749754,1640394,289,400,5678134,2839066,128192487,19250989,58249960,32223665,18467873,2025-07-09 9:57
2443,2015년 5월,지연,현대미포,CON_RO,1차선,5,1,369125,221474,35066875,15503180,835593,506489,840269,422074,3966565,16330110,1688307,1582788,288,373,4922102,2461048,367007255,53174480,181938095,100943760,30950920,2025-07-09 9:57
27604,2021년 9월,정상,삼성중공업,1800TEU_SCR,1차선,4,해당없음,448368,269021,10760832,5380420,295669,537605,976562,448004,1075200,4461748,1792022,1344016,353,450,5815293,2907645,141368100,18399092,71774552,33798532,17395924,2025-07-09 9:57
5716,2016년 3월,지연,현대미포,2500TEU_DF,2차_1차선,4,1,380568,228340,4566816,1826720,127495,510035,1122083,425029,543936,2192656,1700126,1593868,126,239,6074103,3037050,60803490,8578178,27522272,9561301,15141739,2025-07-09 9:57
944,2015년 12월,지연,현대미포,CON_RO,시리즈,5,10,369125,221474,22147500,9966330,531741,506489,840269,422074,2447455,10063905,1688307,1582788,113,235,4922102,2461048,199721948,34414403,113725155,28416785,23165605,2025-07-09 9:57
24061,2021년 10월,지연,삼성중공업,PC_SCR,1차선,5,20,448368,269021,13451040,5380420,268790,537605,891888,448004,1254400,5241210,1792022,1680020,402,511,5224464,2612231,157507913,20977747,73846010,44879809,17804347,2025-07-09 9:57
34160,2023년 4월,정상,삼성중공업,LPG,시리즈,4,해당없음,483558,290135,7736928,3481620,202699,579150,1052027,482625,772200,3300984,1930501,1447876,409,500,6264671,3132335,106807075,13535049,47040448,29383011,16848567,2025-07-09 9:57
31993,2023년 10월,정상,삼성중공업,PC_SCR,1차선,4,해당없음,483558,290135,11605392,4642160,289570,579150,960810,482625,1081080,4517136,1930501,1447876,460,538,5628185,2814092,142946739,18559707,63713508,43254654,17418870,2025-07-09 9:57
11122,2017년 7월,정상,현대미포,PC_SCR,1차선,4,해당없음,394269,236561,9462456,4731220,283294,515136,854613,429280,1098752,4429344,1717128,1287845,238,294,5006123,2503059,108955750,16275999,54345552,22291948,16042251,2025-07-09 9:57
1466,2015년 2월,정상,삼성중공업,PC_EGCS_SCR,1차선,4,해당없음,369125,221474,10335500,4429480,303852,506489,840269,422074,1147772,4709148,1688307,1266230,247,320,4922102,2461048,117538617,16837664,60671484,23834862,16194607,2025-07-09 9:57
37540,2024년 6월,정상,삼성중공업,2500TEU_EGCS,1차선,4,해당없음,500000,300000,16000000,7200000,420000,600000,1320000,500000,1520000,6360000,2000000,1500000,456,531,7145460,3572730,204815579,26040000,97280000,59397389,20098190,2025-07-09 9:57
29876,2022년 4월,지연,삼성중공업,2500TEU_EGCS,1차선,5,16,465855,279513,18634200,8385390,385714,551046,1212303,459205,1744960,7369625,1836823,1722021,534,639,6562475,3281237,244473050,29627858,113295640,79032411,22517141,2025-07-09 9:57
30367,2022년 5월,지연,삼성중공업,PC_SCR,1차선,5,21,465855,279513,13975650,5590260,275510,551046,914186,459205,1285760,5303375,1836823,1722021,584,687,5355076,2677537,178601630,21765857,75468320,63186861,18180592,2025-07-09 9:57
20175,2020년 11월,정상,삼성중공업,2500TEU_EGCS,1차선,4,해당없음,443051,265831,14177632,6379944,374430,534930,1176849,445775,1355080,5562752,1783106,1337329,219,260,6370561,3185279,150422943,23089560,83121484,24617792,19594107,2025-07-09 9:57
15498,2018년 8월,지연,현대미포,1800TEU_EGCS,시리즈,5,4,406492,243895,12194760,4877900,262440,524924,953528,437437,1224650,5051585,1749754,1640394,351,427,5678134,2839066,130785735,19250989,57233740,36117423,18183583,2025-07-09 9:57
13815,2018년 3월,지연,삼성중공업,PC_EGCS_SCR,1차선,5,10,406492,243895,14227220,6097375,314928,524924,870851,437437,1487075,6101265,1749754,1640394,274,395,5101240,2550618,159700047,22472735,83533785,35063181,18630346,2025-07-09 9:57
5554,2016년 2월,지연,삼성중공업,2500TEU_DF,시리즈,6,3,380568,228340,11417040,4110120,203992,510035,1122083,425029,1121868,4742256,1700126,1593868,106,193,6074103,3037050,110898660,17788299,60464040,14377050,18269271,2025-07-09 9:57
1180,2015년 1월,정상,삼성중공업,2500TEU_SCR,시리즈,4,해당없음,369125,221474,7382500,2657688,202568,506489,1114283,422074,742676,3139432,1688307,1266230,188,298,6031879,3015938,81166195,12285602,39088576,13907555,15884462,2025-07-09 9:57
24997,2021년 1월,정상,삼성중공업,1800TEU_EGCS,1차선,4,해당없음,448368,269021,14347776,6456504,376306,537605,976562,448004,1433600,6020672,1792022,1344016,261,328,5815293,2907645,162455333,23142757,87234240,32765088,19313248,2025-07-09 9:57
2266,2015년 4월,지연,삼성중공업,PC_SCR,시리즈,5,23,369125,221474,7382500,3322110,177247,506489,840269,422074,843950,3544520,1688307,1582788,276,344,4922102,2461048,92292571,12650689,44876020,19723147,15042715,2025-07-09 9:57
13245,2018년 1월,정상,삼성중공업,2500TEU_DF,시리즈,5,해당없음,406492,243895,10162300,4877900,236196,524924,1154837,437437,1049700,4329930,1749754,1312315,289,400,6251408,3125702,118613230,17393594,56258280,27142547,17818809,2025-07-09 9:57
6528,2016년 5월,정상,삼성중공업,2500TEU_DF,시리즈,5,해당없음,380568,228340,7611360,3425100,178493,510035,1122083,425029,934890,3951880,1700126,1275094,169,294,6074103,3037050,97594081,13272100,49359175,17989663,16973143,2025-07-09 9:57
18752,2019년 6월,정상,삼성중공업,1800TEU_SCR,시리즈,4,해당없음,423972,254383,8479440,3052596,213104,532798,967831,443999,852384,3409408,1776001,1332000,310,344,5763307,2881652,95594713,13689768,44906928,20983265,16014752,2025-07-09 9:57
22504,2020년 5월,정상,삼성중공업,LPG,시리즈,4,해당없음,443051,265831,7088816,3189972,187215,534930,971703,445775,713200,2941840,1783106,1337329,128,179,5786361,2893179,79439956,12418411,42996224,8570306,15455015,2025-07-09 9:57
37185,2024년 5월,정상,삼성중공업,2500TEU_EGCS,1차선,4,해당없음,500000,300000,16000000,7200000,420000,600000,1320000,500000,1520000,6300000,2000000,1500000,448,506,7145460,3572730,202214431,26040000,96200000,57936241,20038190,2025-07-09 9:57
32993,2023년 1월,정상,삼성중공업,PC_EGCS_SCR,1차선,4,해당없음,483558,290135,11605392,5802700,318527,579150,960810,482625,1235520,4980432,1930501,1447876,357,492,5628185,2814092,150358051,19749204,77407836,35164405,18036606,2025-07-09 9:57
5287,2016년 1월,지연,현대미포,CON_RO,시리즈,5,20,380568,228340,22834080,10275300,535479,510035,846151,425029,2464710,10198400,1700126,1593868,91,200,4956557,2478276,201720656,35426074,119154075,23748570,23391937,2025-07-09 9:57
35076,2023년 7월,지연,현대미포,2500TEU_DF,시리즈,6,2,483558,290135,14506740,5222430,231656,579150,1274131,482625,1274130,5472684,1930501,1809845,425,478,6897162,3448581,156436653,22296732,66847056,46459962,20832903,2025-07-09 9:57
34823,2023년 6월,지연,삼성중공업,CON_RO,시리즈,5,4,483558,290135,29013480,13056075,608097,579150,960810,482625,2799225,11510010,1930501,1809845,410,442,5628185,2814092,338997418,44700237,172484865,95320458,26491858,2025-07-09 9:57
36040,2024년 1월,지연,현대미포,2500TEU_SCR,시리즈,5,20,500000,300000,12500000,6000000,270000,600000,1320000,500000,1200000,4875000,2000000,1875000,420,465,7145460,3572730,142509971,21190000,60000000,40651781,18668190,2025-07-09 9:57
14138,2018년 4월,정상,삼성중공업,PC_EGCS_SCR,1차선,4,해당없음,406492,243895,11381776,4877900,314928,524924,870851,437437,1189660,4828528,1749754,1312315,294,417,5101240,2550618,131490857,18407816,66827028,29523898,16732115,2025-07-09 9:57
28586,2022년 12월,지연,삼성중공업,2500TEU_DF,1차_1차선,5,12,465855,279513,20963475,9782955,440816,551046,1212303,459205,2112320,8816000,1836823,1722021,343,481,6562475,3281237,258622703,33409800,130858335,70023692,24330876,2025-07-09 9:57
16812,2019년 12월,지연,현대미포,2500TEU_DF,시리즈,6,10,423972,254383,12719160,4578894,213104,532798,1172160,443999,1172028,5034204,1776001,1665000,188,376,6345180,3172588,123460741,19660115,58609512,26026113,19165001,2025-07-09 9:57
10093,2017년 4월,정상,삼성중공업,PC_EGCS_SCR,1차선,4,해당없음,394269,236561,11039532,4731220,309048,515136,854613,429280,1167424,4738368,1717128,1287845,253,322,5006123,2503059,123393607,17878829,64817456,24277375,16419947,2025-07-09 9:57
21203,2020년 2월,정상,삼성중공업,2500TEU_SCR,1차선,4,해당없음,443051,265831,12405428,5316620,320940,534930,1176849,445775,1212440,4974384,1783106,1337329,228,318,6370561,3185279,136555002,20200542,72653100,24838261,18863099,2025-07-09 9:57
1424,2015년 2월,정상,삼성중공업,LPG,1차선,4,해당없음,369125,221474,7382500,3543584,227889,506489,920042,422074,945224,3797700,1688307,1266230,247,320,5478738,2739367,95558157,13002578,47030964,19609049,15915566,2025-07-09 9:57
21863,2020년 3월,정상,삼성중공업,PC_SCR,시리즈,4,해당없음,443051,265831,7088816,3189972,187215,534930,887450,445775,713200,2941840,1783106,1337329,125,192,5198471,2599234,78421699,12334158,42996224,8518137,14573180,2025-07-09 9:57
19346,2019년 8월,정상,삼성중공업,PC_SCR,1차선,4,해당없음,423972,254383,10175328,5087660,293018,532798,883914,443999,1065480,4421576,1776001,1332000,254,345,5177759,2588878,125842528,17416717,67869152,24194965,16361694,2025-07-09 9:57
20265,2020년 11월,지연,삼성중공업,1800TEU_SCR,1차선,5,10,443051,265831,15506785,6645775,320940,534930,971703,445775,1515550,6151120,1783106,1671661,219,260,5786361,2893179,162247358,24425908,90816375,27204098,19800977,2025-07-09 9:57
27518,2021년 9월,정상,삼성중공업,2500TEU_EGCS,1차선,4,해당없음,448368,269021,14347776,6456504,376306,537605,1182734,448004,1361920,5644380,1792022,1344016,353,450,6402414,3201206,171580775,23348929,86265768,42220120,19745958,2025-07-09 9:57
3001,2015년 7월,지연,현대미포,2500TEU_DF,1차_1차선,5,19,369125,221474,16610625,7751590,405136,506489,1114283,422074,1856690,7595400,1688307,1582788,242,320,6031879,3015938,173760853,26810197,83125300,42054354,21771002,2025-07-09 9:57
20499,2020년 11월,지연,삼성중공업,PC_SCR,시리즈,5,18,443051,265831,8861020,3987465,187215,534930,887450,445775,891500,3677300,1783106,1671661,219,260,5198471,2599234,100672337,14903855,53745280,16201930,15821272,2025-07-09 9:57
5825,2016년 3월,정상,삼성중공업,2500TEU_EGCS,시리즈,4,해당없음,380568,228340,10655904,4566800,305988,510035,1122083,425029,1155864,4691264,1700126,1275094,126,239,6074103,3037050,111341117,17585839,62564740,13257037,17933501,2025-07-09 9:57
26726,2021년 6월,정상,삼성중공업,2500TEU_EGCS,시리즈,4,해당없음,448368,269021,12554304,5380420,322548,537605,1182734,448004,1218560,4999308,1792022,1344016,331,449,6402414,3201206,147217535,20425615,73711496,34122898,18957526,2025-07-09 9:57
24083,2021년 10월,지연,현대미포,2500TEU_EGCS,시리즈,5,3,448368,269021,15692880,6725525,322548,537605,1182734,448004,1523200,6316330,1792022,1680020,402,511,6402414,3201206,180766495,24909296,81816475,53125532,20915192,2025-07-09 9:57
12661,2018년 11월,정상,삼성중공업,PC_SCR,시리즈,4,해당없음,406492,243895,6503872,2926740,183708,524924,870851,437437,699800,2886620,1749754,1312315,335,357,5101240,2550618,84005188,11447532,39543392,18713917,14300347,2025-07-09 9:57
11207,2017년 7월,정상,삼성중공업,1800TEU_SCR,시리즈,4,해당없음,394269,236561,7885380,2838732,206032,515136,935748,429280,755392,3193248,1717128,1287845,238,294,5572261,2786129,86217548,12810308,41760736,16334501,15312003,2025-07-09 9:57
22269,2020년 5월,정상,삼성중공업,2500TEU_SCR,1차선,4,해당없음,443051,265831,12405428,5316620,320940,534930,1176849,445775,1212440,4920896,1783106,1337329,128,179,6370561,3185279,125901380,20200542,72653100,14238127,18809611,2025-07-09 9:57
26315,2021년 5월,정상,삼성중공업,1800TEU_EGCS,1차선,4,해당없음,448368,269021,14347776,6456504,376306,537605,976562,448004,1433600,5913160,1792022,1344016,305,410,5815293,2907645,167481798,23142757,87234240,37899065,19205736,2025-07-09 9:57
31116,2022년 7월,지연,삼성중공업,LPG,시리즈,5,1,465855,279513,9317100,4192695,192857,551046,1000977,459205,1010240,4063625,1836823,1722021,450,625,5960676,2980337,130941845,15713880,56647820,41006423,17573722,2025-07-09 9:57
35398,2023년 8월,정상,삼성중공업,2500TEU_SCR,시리즈,4,해당없음,483558,290135,7736928,3481620,202699,579150,1274131,482625,772200,3300984,1930501,1447876,498,512,6897162,3448581,111521727,13757153,47040448,32926822,17797304,2025-07-09 9:57
28825,2022년 12월,지연,현대미포,CON_RO,시리즈,5,3,465855,279513,25622025,12578085,551020,551046,914186,459205,2571520,10744500,1836823,1722021,343,481,5355076,2677537,286947707,40675567,142364980,78999683,24907477,2025-07-09 9:57
33755,2023년 3월,지연,현대미포,2500TEU_EGCS,시리즈,5,15,483558,290135,16924530,7253375,347484,579150,1274131,482625,1640925,6732270,1930501,1809845,361,462,6897162,3448581,184596251,26861295,85734835,49540837,22459284,2025-07-09 9:57
22383,2020년 5월,정상,삼성중공업,PC_EGCS_SCR,1차선,4,해당없음,443051,265831,12405428,5316620,320940,534930,887450,445775,1141120,4813920,1783106,1337329,128,179,5198471,2599234,123134601,19911143,72653100,13697178,16873180,2025-07-09 9:57
14958,2018년 7월,정상,삼성중공업,2500TEU_DF,2차_1차선,3,해당없음,406492,243895,3658428,1463370,131220,524924,1154837,437437,419880,1810698,1749754,1312315,357,444,6251408,3125702,61424471,7370216,25560120,13824378,14669757,2025-07-09 9:57
6419,2016년 5월,지연,현대미포,1800TEU_EGCS,1차선,5,2,380568,228340,15222720,6850200,356986,510035,926483,425029,1699800,7011400,1700126,1593868,169,294,5517090,2758543,152495203,24291453,80070320,27852603,20280827,2025-07-09 9:57
1292,2015년 1월,정상,삼성중공업,PC_SCR,시리즈,4,해당없음,369125,221474,5906000,2657688,177247,506489,840269,422074,742676,2987524,1688307,1266230,188,298,4922102,2461048,73214720,10509767,35900816,12736250,14067887,2025-07-09 9:57
20840,2020년 12월,정상,삼성중공업,PC_SCR,시리즈,4,해당없음,443051,265831,7088816,3189972,187215,534930,887450,445775,713200,2995328,1783106,1337329,233,296,5198471,2599234,84338671,12334158,42996224,14381621,14626668,2025-07-09 9:57
37574,2024년 6월,정상,삼성중공업,2500TEU_DF,1차_1차선,4,해당없음,500000,300000,18000000,8400000,480000,600000,1320000,500000,1760000,7200000,2000000,1500000,456,531,7145460,3572730,225474283,29300000,104000000,68996093,21178190,2025-07-09 9:57
31337,2022년 8월,정상,삼성중공업,PC_SCR,1차선,4,해당없음,465855,279513,11180520,4472208,275510,551046,914186,459205,1102080,4518200,1836823,1377617,479,575,5355076,2677537,141670098,17852675,61380900,45569190,16867333,2025-07-09 9:57
36755,2024년 3월,지연,삼성중공업,1800TEU_EGCS,시리즈,5,24,500000,300000,12500000,6000000,270000,600000,1089900,500000,1400000,5700000,2000000,1875000,420,465,6490200,3245100,168633719,20959900,79650000,47313519,18710300,2025-07-09 9:57
551,2015년 11월,지연,현대미포,2500TEU_DF,시리즈,6,22,369125,221474,11073750,3986532,202568,506489,1114283,422074,1114014,4785102,1688307,1582788,164,270,6031879,3015938,106033082,17305696,51026832,19482526,18218028,2025-07-09 9:57
21483,2020년 2월,정상,삼성중공업,CON_RO,시리즈,4,해당없음,443051,265831,21266448,9569916,561645,534930,887450,445775,2068280,8504592,1783106,1337329,228,318,5198471,2599234,222637339,33266164,126117708,41762455,21491012,2025-07-09 9:57
25697,2021년 3월,지연,현대미포,LPG,1차선,5,22,448368,269021,11209200,5380420,241911,537605,976562,448004,1164800,4905235,1792022,1680020,312,392,5815293,2907645,130792713,18793702,62069235,31664761,18265015,2025-07-09 9:57
18655,2019년 6월,지연,현대미포,PC_SCR,1차선,5,7,423972,254383,12719160,6359575,293018,532798,883914,443999,1331850,5526970,1776001,1665000,310,344,5177759,2588878,146572844,21232464,73049940,34223982,18066458,2025-07-09 9:57
35712,2023년 9월,정상,삼성중공업,2500TEU_EGCS,시리즈,4,해당없음,483558,290135,13539624,5802700,347484,579150,1274131,482625,1312740,5443728,1930501,1447876,531,563,6897162,3448581,182483103,22025714,81585772,58391029,20480588,2025-07-09 9:57
35772,2023년 9월,지연,현대미포,1800TEU_SCR,시리즈,5,13,483558,290135,12088950,5802700,260613,579150,1052027,482625,1158300,4705350,1930501,1809845,531,563,6264671,3132335,147400222,20266065,58026960,50106195,19001002,2025-07-09 9:57
27583,2021년 9월,지연,현대미포,2500TEU_DF,2차_1차선,4,5,448368,269021,5380416,2152168,134395,537605,1182734,448004,501760,2150240,1792022,1680020,353,450,6402414,3201206,70830860,9835322,27682060,17585816,15727662,2025-07-09 9:57
27672,2021년 9월,지연,현대미포,PC_EGCS_SCR,1차선,5,18,448368,269021,15692880,6725525,322548,537605,891888,448004,1433600,6047550,1792022,1680020,353,450,5224464,2612231,168447121,24618450,79572465,45466319,18789887,2025-07-09 9:57
18850,2019년 7월,정상,삼성중공업,2500TEU_EGCS,1차선,4,해당없음,423972,254383,13567104,6105192,372932,532798,1172160,443999,1420640,5753376,1776001,1332000,325,362,6345180,3172588,162098648,22194185,82487648,37617030,19799785,2025-07-09 9:57
1347,2015년 2월,정상,삼성중공업,2500TEU_DF,1차_1차선,4,해당없음,369125,221474,13288500,6201272,405136,506489,1114283,422074,1485352,6076320,1688307,1266230,247,320,6031879,3015938,150421940,21937754,76761168,32158992,19564026,2025-07-09 9:57
16735,2019년 12월,지연,삼성중공업,CON_RO,1차선,5,15,423972,254383,40277340,17806810,879054,532798,883914,443999,4173130,17246810,1776001,1665000,188,376,5177759,2588878,426100075,60823915,244079660,88568922,32627578,2025-07-09 9:57
9846,2017년 3월,정상,삼성중공업,1800TEU_SCR,시리즈,4,해당없음,394269,236561,6308304,2838732,180278,515136,935748,429280,755392,3090240,1717128,1287845,243,312,5572261,2786129,80983918,11207478,39205888,15361557,15208995,2025-07-09 9:57
16518,2019년 11월,정상,현대미포,1800TEU_SCR,시리즈,4,해당없음,423972,254383,6783552,3052596,186466,532798,967831,443999,781352,3249592,1776001,1332000,173,359,5763307,2881652,81199545,11967242,38225072,15223327,15783904,2025-07-09 9:57
37550,2024년 6월,지연,현대미포,2500TEU_EGCS,1차선,5,15,500000,300000,17500000,7500000,360000,600000,1320000,500000,1800000,7425000,2000000,1875000,456,531,7145460,3572730,218516619,27780000,97800000,69118429,21818190,2025-07-09 9:57
